ampl.tab 2 12
load_zone	plant_code	size_mw	fuel	heat_rate	start_year	max_age	overnight_cost	fixed_o_m	variable_o_m	forced_outage_rate	scheduled_outage_rate	baseload	cogen
Fresno	55508-GT	45.295	Gas	10627.8412378292	2001	25	928.2786885	10.10878727	0.012621528	0.005	0	0	0
Fresno	55698-GT	93	Gas	10234.5933337661	2001	25	928.2786885	10.10878727	0.012621528	0.005	0	0	0
Fresno	55807-GT	95.405	Gas	10375.7366323331	2002	25	928.2786885	10.10878727	0.012621528	0.005	0	0	0
Fresno	55874-GT	45.15	Gas	14153.8484876066	1973	25	928.2786885	10.10878727	0.012621528	0.005	0	0	0
Fresno	56185-IC	49.6	Gas	9867.78078285126	2001	30	1000	30	1	0.05	0	0	0
Fresno	cogen-CC-NG	110.3	Gas	4265	2007	25	563.67373635	16.44398767	0.33	0.0456621	0.791392997808187	1	1
Fresno	cogen-GT-NG	65.2	Gas	4265	2007	25	696.209016375	10.10878727	0.012621528	0.005	0.0408411171844696	1	1
Fresno	cogen-IC-NG	6.6	Gas	4265	2007	30	750	30	1	0.05	0.571669834611435	1	1
Geysers	10199-ST	30	Geothermal	21016.999591485	1988	45	1880	154.92	0	0.05	0.104486101097493	1	0
Geysers	10469-ST	20	Geothermal	21016.9966750056	1988	45	1880	154.92	0	0.05	0.157860790675318	1	0
Geysers	286-ST	542.5	Geothermal	21017.0001543816	1985	45	1880	154.92	0	0.05	0.220597785730511	1	0
Geysers	50066-ST	110	Geothermal	21017.0003043317	1984	45	1880	154.92	0	0.05	0.35389220248629	1	0
Geysers	510-ST	57.5	Geothermal	21016.9976399046	1983	45	1880	154.92	0	0.05	0.353015056999258	1	0
Geysers	7368-ST	102.8	Geothermal	21017.0007930662	1983	45	1880	154.92	0	0.05	0.350990109194419	1	0
Geysers	7369-ST	83.2	Geothermal	21017.0004271526	1986	45	1880	154.92	0	0.05	0.218951716642326	1	0
Humboldt	246-ST	105	Gas	13631.1809970595	1958	45	1000	25	1	0.01	0	0	0
Imperial	10631-ST	40.6818473123448	Geothermal	21016.9967794436	1989	45	1880	154.92	0	0.05	0	1	0
Imperial	10632-ST	40.4722422494593	Geothermal	21016.9987035223	1988	45	1880	154.92	0	0.05	0	1	0
Imperial	10634-ST	39.8536409516943	Geothermal	21017.0002391993	1988	45	1880	154.92	0	0.05	0	1	0
Imperial	10759-ST	47.5	Geothermal	21016.999981655	1989	45	1880	154.92	0	0.05	0.126637911770534	1	0
Imperial	10878-ST	10	Geothermal	21016.9951292619	1982	45	1880	154.92	0	0.05	0.198209565008411	1	0
Imperial	10879-ST	15	Geothermal	21017.0013637458	1990	45	1880	154.92	0	0.05	0.251041416326204	1	0
Imperial	50210-ST	36.7738524393175	Geothermal	21017.0004008295	1985	45	1880	154.92	0	0.05	0	1	0
Imperial	54996-ST	37.9697188175919	Geothermal	21016.9976960859	1996	45	1880	154.92	0	0.05	0	1	0
Imperial	55983-ST	49	Geothermal	21016.9979358067	2000	45	1880	154.92	0	0.05	0.41227179985188	1	0
Imperial	55984-ST	11	Geothermal	21016.9891680384	2000	45	1880	154.92	0	0.05	0.396639356797972	1	0
Imperial	6060-GT	80	Gas	15262.2534036139	1976	25	928.2786885	10.10878727	0.012621528	0.005	0	0	0
Imperial	7824-GT	46	Gas	14364.5771154137	1980	25	928.2786885	10.10878727	0.012621528	0.005	0	0	0
Los_Angeles	377-CC	158.1	Gas	12407.0751101868	2004	25	751.5649818	16.44398767	0.33	0.0456621	0	0	0
Los_Angeles	399-GT	235	Gas	9508.95104840938	2002	25	928.2786885	10.10878727	0.012621528	0.005	0	0	0
Los_Angeles	400-ST	1126	Gas	10722.5199600835	1967	45	1000	25	1	0.01	0	0	0
Los_Angeles	404-ST	803	Gas	10347.6170037417	1974	45	1000	25	1	0.01	0	0	0
Los_Angeles	408-GT	47	Gas	25379.2650918635	2002	25	928.2786885	10.10878727	0.012621528	0.005	0	0	0
Los_Angeles	6013-ST	99	Gas	12516.5279171883	1964	45	1000	25	1	0.01	0	0	0
Los_Angeles	7987-GT	48	Gas	14821.4404013479	2002	25	928.2786885	10.10878727	0.012621528	0.005	0	0	0
