ampl.tab 4 1
load_zone	technology	site	orientation	max_capacity
Los_Angeles	DistPV	Piru_101	S13	60.800498962402
Other_SCE	DistPV	Piru_101	S13	28.375667572021
Los_Angeles	DistPV	Piru_101	S15	60.800498962402
Other_SCE	DistPV	Piru_101	S15	28.375667572021
Los_Angeles	DistPV	Piru_101	S17	60.800498962402
Other_SCE	DistPV	Piru_101	S17	28.375667572021
Geysers	DistPV	Windso_103	S13	6.1139998435974
Geysers	DistPV	Windso_103	S15	6.1139998435974
Geysers	DistPV	Windso_103	S17	6.1139998435974
Other_Bay_Area	DistPV	De_Lav_104	S13	14.3125
PG&E_South	DistPV	De_Lav_104	S13	1.375
Other_Bay_Area	DistPV	De_Lav_104	S15	14.3125
PG&E_South	DistPV	De_Lav_104	S15	1.375
Other_Bay_Area	DistPV	De_Lav_104	S17	14.3125
PG&E_South	DistPV	De_Lav_104	S17	1.375
Fresno	DistPV	Westla_105	S13	6.6996665000916
Fresno	DistPV	Westla_105	S15	6.6996665000916
Fresno	DistPV	Westla_105	S17	6.6996665000916
Geysers	DistPV	Sanel__106	S13	4.0973334312439
Geysers	DistPV	Sanel__106	S15	4.0973334312439
Geysers	DistPV	Sanel__106	S17	4.0973334312439
Other_SCE	DistPV	Santa__107	S13	22.432332992554
Other_SCE	DistPV	Santa__107	S15	22.432332992554
Other_SCE	DistPV	Santa__107	S17	22.432332992554
PG&E_North	DistPV	Carner_109	S13	15.587666511536
PG&E_North	DistPV	Carner_109	S15	15.587666511536
PG&E_North	DistPV	Carner_109	S17	15.587666511536
PG&E_South	DistPV	Green__111	S13	7.8585000038147
PG&E_South	DistPV	Green__111	S15	7.8585000038147
PG&E_South	DistPV	Green__111	S17	7.8585000038147
PG&E_South	DistPV	King_C_113	S13	1.5278333425522
PG&E_South	DistPV	King_C_113	S15	1.5278333425522
PG&E_South	DistPV	King_C_113	S17	1.5278333425522
PG&E_South	DistPV	Arroyo_114	S13	2.4831666946411
PG&E_South	DistPV	Arroyo_114	S15	2.4831666946411
PG&E_South	DistPV	Arroyo_114	S17	2.4831666946411
PG&E_South	DistPV	Salina_116	S13	4.0510001182556
PG&E_South	DistPV	Salina_116	S15	4.0510001182556
PG&E_South	DistPV	Salina_116	S17	4.0510001182556
Other_SCE	DistPV	Victor_117	S13	106.24732971191
Other_SCE	DistPV	Victor_117	S15	106.24732971191
Other_SCE	DistPV	Victor_117	S17	106.24732971191
Imperial	DistPV	Cathed_118	S13	1.3871666193008
Other_SCE	DistPV	Cathed_118	S13	20.454999923706
Imperial	DistPV	Cathed_118	S15	1.3871666193008
Other_SCE	DistPV	Cathed_118	S15	20.454999923706
Imperial	DistPV	Cathed_118	S17	1.3871666193008
Other_SCE	DistPV	Cathed_118	S17	20.454999923706
PG&E_North	DistPV	Durham_12	S13	26.070499420166
PG&E_North	DistPV	Durham_12	S15	26.070499420166
PG&E_North	DistPV	Durham_12	S17	26.070499420166
PG&E_North	DistPV	Dixon_121	S13	3.8886666297913
PG&E_North	DistPV	Dixon_121	S15	3.8886666297913
PG&E_North	DistPV	Dixon_121	S17	3.8886666297913
PG&E_North	DistPV	Hastin_122	S13	9.1415004730225
PG&E_North	DistPV	Hastin_122	S15	9.1415004730225
PG&E_North	DistPV	Hastin_122	S17	9.1415004730225
PG&E_North	DistPV	Suisun_123	S13	31.851833343506
PG&E_North	DistPV	Suisun_123	S15	31.851833343506
PG&E_North	DistPV	Suisun_123	S17	31.851833343506
Fresno	DistPV	Panoch_124	S13	1.3053333759308
PG&E_South	DistPV	Panoch_124	S13	0.19066666066647
Fresno	DistPV	Panoch_124	S15	1.3053333759308
PG&E_South	DistPV	Panoch_124	S15	0.19066666066647
Fresno	DistPV	Panoch_124	S17	1.3053333759308
PG&E_South	DistPV	Panoch_124	S17	0.19066666066647
Other_SCE	DistPV	Arvin-_125	S13	0.20566666126251
ZP26	DistPV	Arvin-_125	S13	43.818832397461
Other_SCE	DistPV	Arvin-_125	S15	0.20566666126251
ZP26	DistPV	Arvin-_125	S15	43.818832397461
Other_SCE	DistPV	Arvin-_125	S17	0.20566666126251
ZP26	DistPV	Arvin-_125	S17	43.818832397461
Fresno	DistPV	San_Be_126	S13	0.23583333194256
PG&E_South	DistPV	San_Be_126	S13	4.6641664505005
ZP26	DistPV	San_Be_126	S13	1.8916666507721
Fresno	DistPV	San_Be_126	S15	0.23583333194256
PG&E_South	DistPV	San_Be_126	S15	4.6641664505005
ZP26	DistPV	San_Be_126	S15	1.8916666507721
Fresno	DistPV	San_Be_126	S17	0.23583333194256
PG&E_South	DistPV	San_Be_126	S17	4.6641664505005
ZP26	DistPV	San_Be_126	S17	1.8916666507721
Imperial	DistPV	Salton_127	S13	1.8223333358765
Imperial	DistPV	Salton_127	S15	1.8223333358765
Imperial	DistPV	Salton_127	S17	1.8223333358765
Imperial	DistPV	Salton_128	S13	1.5674999952316
Imperial	DistPV	Salton_128	S15	1.5674999952316
Imperial	DistPV	Salton_128	S17	1.5674999952316
PG&E_South	DistPV	Pajaro_129	S13	4.0469999313354
PG&E_South	DistPV	Pajaro_129	S15	4.0469999313354
PG&E_South	DistPV	Pajaro_129	S17	4.0469999313354
North_Coast	DistPV	Camino_13	S13	0.17566666007042
PG&E_North	DistPV	Camino_13	S13	9.5369997024536
PG&E_South	DistPV	Camino_13	S13	2.9888334274292
Sierra	DistPV	Camino_13	S13	12.248999595642
North_Coast	DistPV	Camino_13	S15	0.17566666007042
PG&E_North	DistPV	Camino_13	S15	9.5369997024536
PG&E_South	DistPV	Camino_13	S15	2.9888334274292
Sierra	DistPV	Camino_13	S15	12.248999595642
North_Coast	DistPV	Camino_13	S17	0.17566666007042
PG&E_North	DistPV	Camino_13	S17	9.5369997024536
PG&E_South	DistPV	Camino_13	S17	2.9888334274292
Sierra	DistPV	Camino_13	S17	12.248999595642
PG&E_North	DistPV	Fair_O_131	S13	31.624332427979
PG&E_South	DistPV	Fair_O_131	S13	2.227499961853
Sacramento	DistPV	Fair_O_131	S13	93.213500976562
Sierra	DistPV	Fair_O_131	S13	21.320333480835
PG&E_North	DistPV	Fair_O_131	S15	31.624332427979
PG&E_South	DistPV	Fair_O_131	S15	2.227499961853
Sacramento	DistPV	Fair_O_131	S15	93.213500976562
Sierra	DistPV	Fair_O_131	S15	21.320333480835
PG&E_North	DistPV	Fair_O_131	S17	31.624332427979
PG&E_South	DistPV	Fair_O_131	S17	2.227499961853
Sacramento	DistPV	Fair_O_131	S17	93.213500976562
Sierra	DistPV	Fair_O_131	S17	21.320333480835
