ampl.tab 1 5
hour	period	date	hours_in_sample	month_of_year	hour_of_day
1202014021	2012	120402021	16	2	1
1202014220	2012	120402220	436	2	1
1202034021	2012	120402021	16	2	3
1202034220	2012	120402220	436	2	3
1202054021	2012	120402021	16	2	5
1202054220	2012	120402220	436	2	5
1202074021	2012	120402021	16	2	7
1202074220	2012	120402220	436	2	7
1202094021	2012	120402021	16	2	9
1202094220	2012	120402220	436	2	9
1202114021	2012	120402021	16	2	11
1202114220	2012	120402220	436	2	11
1202134021	2012	120402021	16	2	13
1202134220	2012	120402220	436	2	13
1202154021	2012	120402021	16	2	15
1202154220	2012	120402220	436	2	15
1202174021	2012	120402021	16	2	17
1202174220	2012	120402220	436	2	17
1202194021	2012	120402021	16	2	19
1202194220	2012	120402220	436	2	19
1202214021	2012	120402021	16	2	21
1202214220	2012	120402220	436	2	21
1202234021	2012	120402021	16	2	23
1202234220	2012	120402220	436	2	23
1204014100	2012	120404100	464	4	1
1204014271	2012	120404271	16	4	1
1204034100	2012	120404100	464	4	3
1204034271	2012	120404271	16	4	3
1204054100	2012	120404100	464	4	5
1204054271	2012	120404271	16	4	5
1204074100	2012	120404100	464	4	7
1204074271	2012	120404271	16	4	7
1204094100	2012	120404100	464	4	9
1204094271	2012	120404271	16	4	9
1204114100	2012	120404100	464	4	11
1204114271	2012	120404271	16	4	11
1204134100	2012	120404100	464	4	13
1204134271	2012	120404271	16	4	13
1204154100	2012	120404100	464	4	15
1204154271	2012	120404271	16	4	15
1204174100	2012	120404100	464	4	17
1204174271	2012	120404271	16	4	17
1204194100	2012	120404100	464	4	19
1204194271	2012	120404271	16	4	19
1204214100	2012	120404100	464	4	21
1204214271	2012	120404271	16	4	21
1204234100	2012	120404100	464	4	23
1204234271	2012	120404271	16	4	23
1206014151	2012	120406151	16	6	1
1206014290	2012	120406290	464	6	1
1206034151	2012	120406151	16	6	3
1206034290	2012	120406290	464	6	3
1206054151	2012	120406151	16	6	5
1206054290	2012	120406290	464	6	5
1206074151	2012	120406151	16	6	7
1206074290	2012	120406290	464	6	7
1206094151	2012	120406151	16	6	9
1206094290	2012	120406290	464	6	9
1206114151	2012	120406151	16	6	11
1206114290	2012	120406290	464	6	11
1206134151	2012	120406151	16	6	13
1206134290	2012	120406290	464	6	13
1206154151	2012	120406151	16	6	15
1206154290	2012	120406290	464	6	15
1206174151	2012	120406151	16	6	17
1206174290	2012	120406290	464	6	17
1206194151	2012	120406151	16	6	19
1206194290	2012	120406290	464	6	19
1206214151	2012	120406151	16	6	21
1206214290	2012	120406290	464	6	21
1206234151	2012	120406151	16	6	23
1206234290	2012	120406290	464	6	23
1208014111	2012	120408111	16	8	1
1208014180	2012	120408180	480	8	1
1208034111	2012	120408111	16	8	3
1208034180	2012	120408180	480	8	3
1208054111	2012	120408111	16	8	5
1208054180	2012	120408180	480	8	5
1208074111	2012	120408111	16	8	7
1208074180	2012	120408180	480	8	7
1208094111	2012	120408111	16	8	9
1208094180	2012	120408180	480	8	9
