ampl.tab 2 5
load_zone_start	load_zone_end	tid	transmission_length_km	transmission_efficiency	existing_transmission_from	existing_transmission_to
Humboldt	North_Coast	1	140.385035961815	0.95	0	0
Humboldt	Geysers	2	245.208969169156	0.95	0	0
Humboldt	PG&E_North	3	208.058093370578	0.95	158	158
North_Coast	Geysers	18	104.893843961407	0.95	164.3	164.3
North_Coast	PG&E_North	19	141.80153112361	0.95	234	234
North_Coast	San_Francisco	20	230.546950569727	0.95	0	0
North_Coast	Other_Bay_Area	21	275.49397615193	0.95	0	0
North_Coast	Sierra	22	254.041031656305	0.95	0	0
North_Coast	Sacramento	29	221.950566363323	0.95	0	0
Geysers	PG&E_North	34	164.587783781179	0.95	2443.7	2443.7
Geysers	San_Francisco	35	126.798517877773	0.95	0	0
Geysers	Other_Bay_Area	36	175.342739561694	0.95	0	0
Geysers	Sierra	37	213.374450883886	0.95	0	0
Geysers	PG&E_South	38	247.410839926225	0.95	0	0
Geysers	Sacramento	44	155.970657189101	0.95	0	0
PG&E_North	San_Francisco	49	239.584277368111	0.95	0	0
PG&E_North	Other_Bay_Area	50	259.670010723225	0.95	3086.4	3086.4
PG&E_North	Sierra	51	142.0167659398	0.95	969.7	969.7
PG&E_North	PG&E_South	52	280.747463562897	0.95	8048	8048
PG&E_North	Sacramento	58	152.139250484548	0.95	1894.4	1894.4
PG&E_North	Northwest	61	403.307593387479	0.95	3719.99	4879.99
San_Francisco	Other_Bay_Area	63	55.5238999440781	0.95	2369.2	2369.2
San_Francisco	Sierra	64	203.845038443422	0.95	0	0
San_Francisco	PG&E_South	65	145.603993396472	0.95	0	0
San_Francisco	Fresno	66	251.028446742595	0.95	0	0
San_Francisco	Sacramento	71	129.588016884278	0.95	0	0
Other_Bay_Area	Sierra	76	191.010658940804	0.95	0	0
Other_Bay_Area	PG&E_South	77	93.0694007287035	0.95	12476.7	12476.7
Other_Bay_Area	Fresno	78	196.869665700432	0.95	0	0
Other_Bay_Area	ZP26	79	289.3099239086	0.95	0	0
Other_Bay_Area	Sacramento	83	122.698311826202	0.95	0	0
Sierra	PG&E_South	88	166.775346070695	0.95	130	130
Sierra	Fresno	89	223.158263311041	0.95	0	0
Sierra	Sacramento	94	74.3838215339868	0.95	0	0
PG&E_South	Fresno	99	106.145646377984	0.95	2076.5	2076.5
PG&E_South	ZP26	100	234.155506414007	0.95	2619.35	4332.16
PG&E_South	Sacramento	104	128.859538665168	0.95	1783	1783
Fresno	ZP26	109	175.45483543351	0.95	782.22	1204.41
Fresno	Other_SCE	110	290.255573116176	0.95	0	0
Fresno	Sacramento	113	215.572195762812	0.95	0	0
ZP26	Other_SCE	118	247.532606401662	0.95	3999.99	3000
ZP26	Orange	119	268.742607699263	0.95	0	0
ZP26	Los_Angeles	122	199.805501888712	0.95	0	0
Other_SCE	Orange	126	193.598794895526	0.95	23221	23221
Other_SCE	San_Diego	127	272.625031403941	0.95	0	0
Other_SCE	Los_Angeles	129	175.884242412446	0.95	5280.99	6780.99
Other_SCE	Imperial	130	274.827663021756	0.95	600	600
Other_SCE	Southwest	132	283.334969350767	0.95	5026.88	5026.88
Orange	San_Diego	133	144.760390939649	0.95	2199.96	2199.96
Orange	Los_Angeles	135	69.04053668679	0.95	0	0
Orange	Imperial	136	213.252330915749	0.95	0	0
San_Diego	Los_Angeles	140	213.278748601449	0.95	0	0
San_Diego	Imperial	141	95.0668031333756	0.95	639.85	639.85
San_Diego	Southwest	143	385.306745454839	0.95	1464.3	1464.3
Los_Angeles	Imperial	148	275.125789443665	0.95	0	0
Los_Angeles	Northwest	149	1038.55604449254	0.95	3100	3100
Los_Angeles	Southwest	150	432.00029809249	0.95	5569.85	5569.85
Imperial	Southwest	152	311.094483437106	0.95	330	330
